tempo,origem,destino,msg_id,delivered,forward_util,source_file
6670,5,6,1-2-1,0,0,r114.csv
6670,6,5,1-2-1,0,0,r114.csv
6870,4,2,1-2-1,0,0,r114.csv
7045,1,5,1-2-1,0,0,r114.csv
7045,5,1,1-2-1,0,0,r114.csv
7210,6,3,1-2-1,0,0,r114.csv
7215,3,6,1-2-1,0,0,r114.csv
7395,3,2,1-2-1,0,0,r114.csv
7780,1,7,1-2-1,0,0,r114.csv
9105,6,7,1-2-1,0,0,r114.csv
9270,8,5,1-2-1,0,0,r114.csv
9275,5,8,1-2-1,0,0,r114.csv
9575,6,7,1-2-1,0,0,r114.csv
10270,8,1,1-2-1,0,0,r114.csv
10275,1,8,1-2-1,0,0,r114.csv
10565,5,6,1-2-1,0,0,r114.csv
10565,6,5,1-2-1,0,0,r114.csv
11545,8,7,1-2-1,0,0,r114.csv
12210,5,3,1-2-1,0,0,r114.csv
12290,5,8,1-2-1,0,0,r114.csv
